scope,item,manufacturer_or_vendor,part_or_model,interface,qty_15tree,qty_18tree,unit_eur_snapshot,price_type,status,notes
per_tree,e-nose/VOC, Bosch Sensortec,BME688,I2C/SPI,15,18,6.747,distributor,selected_candidate,"bare IC; custom PCB; raw gas data"
per_tree,dendrometer displacement,TT Electronics/BI,404R10KL1.0,analog resistive,15,18,20.956,distributor,selected_candidate,"12.7 mm travel; requires bracket/calibration"
per_tree,ADC,Texas Instruments,ADS1115,I2C,15,18,4.933,distributor,selected_candidate,"16-bit; duty cycle"
per_tree,bark temperature,Generic/DS18B20,DS18B20,1-Wire,15,18,2.47,local_retail,optional,"waterproof probe; mounting protocol required"
per_tree,sensor PCB/passives/connectors,custom,TBD,mixed,15,18,12.00,engineering_estimate,estimate,"replace with PCB quote"
per_tree,mechanics/shield,custom,TBD,mechanical,15,18,18.00,engineering_estimate,estimate,"metal bracket + gas/radiation shield"
per_tree,cable/glands/misc,custom,TBD,mixed,15,18,7.00,engineering_estimate,estimate,"replace with supplier quote"
plot,soil moisture,METER Group,TEROS 10,analog 1-2.5V,3,3,218.50,EU_retail,selected_candidate,"3 per plot planning baseline"
reference,commercial dendrometer,Ecomatik,DR1,analog 0-Vex,2,2,335.00,EU_retail,reference_only,"cross-check DIY design"
plot,ambient e-nose breakout,Adafruit,5046 BME688,I2C,2,2,17.09,distributor,prototype_reference,"field custom PCB later"
plot,ambient shield,custom,TBD,mechanical,2,2,15.00,engineering_estimate,estimate,"radiation/rain shield"
plot,pheromone trap,Biopolis,IBL3,manual,3,3,19.36,LT_retail,field_context,"placement by specialist"
plot,pheromone lure,various,Ips typographus seasonal lure,manual,3,3,12.40,LT_retail,field_context,"price varies ~11-12.4"
reference,sap flow,ICT International,SFM1/SFMx,specialized,3,4,,quote_required,deferred,"not in base cost"
prototype_host,cellular PoC board,Nordic Semiconductor,Thingy:91 X,Qwiic/Grove + LTE-M/NB-IoT,15,18,88.32,distributor,PoC_only,"not final LoRa node"
final_host,Forest Internet universal node,IoT team,TBD,I2C/ADC/1-Wire + LoRa,15,18,,TBD,preferred_final,"cost/power TBD by IoT team"
